Quarter,Territorial authority,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,  Rangitikei district (modified),6530,6710,5480,81.7,6210,6440,5000,77.6,4360,910,900,20.8,440,430,27430500
,  Manawatu district,7170,7430,5170,69.6,6870,7200,4550,63.2,7160,1290,1410,18.7,510,630,50724500
,  Palmerston North city,7730,8060,5280,65.5,7190,7500,4580,61.1,36790,5500,5360,14.8,1700,1560,273220000
,  Tararua district,6580,6900,4730,68.6,6350,6690,4690,70.1,5450,1080,950,18.8,570,430,35265300
,  Horowhenua district,6550,6730,5280,78.5,6190,6360,4840,76.1,7970,1140,1190,14.6,470,530,51543000
,  Kapiti Coast district,6510,6770,4820,71.2,6000,6270,3960,63.2,9000,1490,1400,16.2,670,580,56774200
,  Porirua city,8330,8560,6800,79.4,7720,7960,5360,67.3,11830,1750,1640,14.4,630,520,98351300
,  Upper Hutt city,8520,8850,5550,62.7,7450,7800,4360,55.9,9900,1290,1440,13.7,420,560,84013300
,  Lower Hutt city,8990,9280,6890,74.3,8070,8320,6010,72.2,38320,5800,6150,15.5,2300,2660,339979200
,  Wellington city,11390,11850,8540,72.1,9380,9700,7060,72.8,114370,18530,17640,15.9,6690,5800,1294367700
,  Masterton district,6710,6940,5230,75.4,6240,6500,4450,68.5,8640,1330,1240,14.9,610,520,56524700
,  Carterton district,6470,6770,4610,68.1,6200,6460,4460,69,2260,370,320,15.5,180,130,14225100
,  South Wairarapa district,6270,6550,5280,80.6,6000,6230,5220,83.8,2130,490,560,24.2,270,340,12743700
,  Tasman district,7100,7250,6240,86.1,6620,6730,5920,88,12010,2450,3560,24,1260,2370,81506300
,  Nelson city,7840,8230,5310,64.5,6910,7270,4800,66,20130,3620,3350,17.4,1460,1190,151837500
,  Marlborough district,7090,7410,5340,72.1,6590,6920,4960,71.7,14820,3080,3150,21,1540,1610,100767900
,  Kaikoura district,6750,6980,5690,81.5,6000,6150,4990,81.1,1040,200,220,19.8,100,120,6758000
,  Buller district,7280,7520,5470,72.7,6500,6890,4720,68.5,2960,480,490,16.6,230,240,20956700
,  Grey district,7060,7330,4850,66.2,6460,6710,4050,60.4,5280,740,750,14.1,310,330,36452000
,  Westland district,7360,7570,5720,75.6,7020,7240,5550,76.7,2470,460,550,19.9,180,270,17936300
,  Hurunui district,6030,6270,5220,83.3,5520,5760,4860,84.4,2640,630,560,22.8,350,280,15134500
,  Waimakariri district,6680,6830,6120,89.6,6350,6510,5590,85.9,7310,1220,1120,16.2,620,510,46851100
,  Christchurch city (modified),8100,8390,6180,73.7,7360,7630,5330,69.9,153420,24390,23720,15.7,8680,8010,1199025100
,  Selwyn district,7770,8100,5790,71.5,7140,7390,5420,73.3,8600,1470,1330,16.4,630,490,62909100
,  Ashburton district,7000,7230,5780,79.9,6760,7000,5850,83.6,10630,2210,2090,20.3,1300,1180,71324200
,  Timaru district,7170,7410,5450,73.6,6740,7000,4930,70.4,15900,2510,2910,16.8,1140,1540,111202800
,  Mackenzie district,7660,7980,5370,67.3,6180,6440,5210,80.9,1170,240,220,20.1,150,130,8229100
,  Waimate district,6140,6330,5190,82,6040,6160,5440,88.3,1730,440,310,22.7,280,150,10436400
,  Waitaki district,6700,6960,4800,69,6330,6630,4320,65.2,6810,1140,1590,19.4,540,990,45704600
,  Central Otago district,6720,6960,5260,75.6,6240,6480,5020,77.5,5320,1130,1200,21.8,610,680,35901300
,  Queenstown-Lakes district,7190,7600,5810,76.5,6800,7250,5500,75.9,9750,3480,1850,29.8,2180,550,63903800
,  Dunedin city,7520,7800,5300,68,6930,7230,4640,64.2,47860,7240,7330,15.2,2520,2610,346742900
,  Clutha district,7030,7210,5820,80.7,6890,7120,5550,78,5930,1360,1440,23.5,830,900,41069600
,  Southland district,8100,8400,6540,77.9,7620,7890,6500,82.4,9370,2220,3090,27.1,1210,2080,75016400
,  Gore district,6960,7220,4850,67.2,6760,7020,4270,60.8,4890,820,1440,21.7,330,960,34984700
,  Invercargill city,7570,7880,5320,67.5,6900,7220,4570,63.3,21150,3250,3170,15.2,1310,1230,155552600
Jun-01,Total territorial authority,8480,8980,6650,74.1,7610,8060,5770,71.6,1503630,284710,247460,17.9,141600,104350,12418946800
,  Far North district,6570,7000,5120,73.1,6000,6500,4370,67.2,14160,3330,2750,21.9,1910,1320,87506000
,  Whangarei district,7810,8250,5830,70.7,7240,7610,4950,65.1,22670,4170,3430,17,2260,1510,172148300
,  Kaipara district,6680,7080,5770,81.5,6210,6730,4900,72.8,4090,850,800,20.2,480,430,26834700
,  Rodney district,7130,7520,5840,77.7,6650,7150,4840,67.7,16350,3360,3040,19.8,1790,1470,113176900
,  North Shore city,9000,9570,6660,69.6,8100,8590,5800,67.5,63330,11370,9290,16.6,5460,3380,559285400
,  Waitakere city,7870,8320,6020,72.4,7340,7780,5320,68.4,38180,6850,5820,16.8,3450,2420,293534800
,  Auckland city,10270,10820,8170,75.5,8790,9230,7080,76.7,255180,47830,42370,17.9,21300,15840,2566333100
,  Manukau city,9240,9660,7600,78.7,8420,8770,6730,76.7,94020,16370,14130,16.4,8050,5800,863497900
,  Papakura district,8160,8570,6560,76.6,7730,8170,5650,69.2,12390,2200,1780,16.3,1200,780,99225900
,  Franklin district,8410,8970,5890,65.7,7360,7930,5080,64.1,14110,2600,2800,19,1380,1580,113730600
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,6680,6980,5630,80.7,6190,6520,4630,71,7310,1680,1570,22.4,900,790,47317100
,  Hauraki district,7330,7600,6700,88.2,6730,7020,5590,79.6,4160,770,660,17.3,480,360,28925500
,  Waikato district,8080,8520,7040,82.6,7490,7880,6080,77.2,8640,1610,1680,19,800,870,66932000
,  Matamata-Piako district,7750,8150,6530,80.1,7320,7730,5860,75.8,9990,1710,1560,16.5,910,760,74172600
,  Hamilton city,8140,8690,5980,68.8,7570,8080,5200,64.4,56310,10430,7990,16.7,4980,2540,444635400
,  Waipa district,7260,7740,5430,70.2,6750,7240,5080,70.2,10840,2170,1840,18.8,1260,930,75284800
,  Otorohanga district,7370,7700,6450,83.8,7110,7550,5740,76,2670,540,460,19.1,330,240,19016600
,  South Waikato district,7550,7990,5820,72.8,7340,7800,5170,66.3,8310,2770,2740,33.2,700,670,66777200
,  Waitomo district (modified),7210,7750,5780,74.6,6740,7230,5080,70.3,3540,700,620,18.8,390,310,24383000
,  Taupo district (modified),7030,7470,5460,73.1,6580,7070,4680,66.2,11210,2230,2060,19.3,1020,850,75698900
,  Western Bay of Plenty district,6960,7250,6170,85.1,6610,7020,5490,78.2,12190,5860,2290,39.2,4900,1330,67907000
,  Tauranga city,7590,8040,5910,73.5,7060,7500,5200,69.3,34690,7110,5620,18.7,3690,2200,254561900
,  Rotorua district,7660,8030,6240,77.7,7190,7540,5520,73.2,25050,4730,4070,17.8,2270,1610,184541900
,  Whakatane district (modified),6990,7450,5530,74.2,6430,6840,4800,70.2,10160,2620,1830,22.8,1640,860,67622300
,  Kawerau district,10480,11130,6510,58.5,10490,11230,5360,47.7,3070,690,690,22.4,480,490,35422800
,  Opotiki district,6400,6710,5590,83.3,5790,6180,4460,72.2,2590,940,430,29.3,710,200,14119500
,  Gisborne district,6990,7360,6220,84.5,6510,6920,5620,81.2,16080,3950,3790,24.2,2110,1950,105495100
,  Wairoa district,7370,7830,5920,75.6,7210,7800,5480,70.3,2910,610,570,20.5,380,330,20308500
,  Hastings district (modified),7640,8030,6790,84.6,7200,7590,6240,82.2,27620,6060,5990,21.9,3010,2940,203377300
,  Napier city,7230,7670,5530,72.1,6760,7200,4900,68.1,20080,3650,3180,17.2,1740,1270,141408200
,  Central Hawke's Bay district,7420,7830,6800,86.9,7220,7500,6830,91.1,5180,1160,1100,22,590,530,36649800
,  New Plymouth district,8070,8490,6720,79.2,7120,7500,5570,74.3,23930,4230,3430,16.3,2260,1470,191407800
,  Stratford district,6500,6930,5270,76.1,5830,6300,3680,58.4,2330,380,330,15.5,240,200,14830300
,  South Taranaki district,8590,9000,6870,76.3,7990,8280,6260,75.6,10160,1500,1440,14.5,800,740,83640500
,  Ruapehu district (modified),7660,8200,5570,67.9,7150,7670,4900,63.9,5200,1090,1010,20.3,630,550,37613700
,  Wanganui district,7210,7600,5650,74.3,6760,7150,4940,69.1,15710,2650,2150,15.5,1340,830,110745800
,  Rangitikei district (modified),6600,6990,5770,82.6,6110,6610,5170,78.2,4340,1020,1000,23.4,600,580,27648500
,  Manawatu district,7460,7770,6370,82,7150,7430,5450,73.4,7280,1280,1150,16.9,720,590,51590200
,  Palmerston North city,7850,8380,5540,66.1,7190,7670,4810,62.7,36650,6250,5090,15.7,2910,1760,277564200
,  Tararua district,6880,7120,6530,91.7,6530,6830,5710,83.6,5310,940,1140,19.3,510,700,35917100
,  Horowhenua district,6640,6990,5080,72.7,6160,6500,4300,66.2,8020,1400,1170,16.3,710,470,52567500
,  Kapiti Coast district,6570,6970,5130,73.6,6010,6430,4230,65.8,8920,1690,1410,17.7,920,640,56230400
,  Porirua city,8130,8570,6720,78.4,7580,8020,5690,71,11730,2020,1500,15.3,1070,550,93965600
,  Upper Hutt city,8200,8630,7070,81.9,7340,7800,5760,73.9,10040,1570,1140,13.8,800,370,80229900
,  Lower Hutt city,8800,9200,6690,72.7,8030,8350,6130,73.4,38660,5970,5090,14.5,2710,1830,337390300
,  Wellington city,10780,11450,7860,68.7,9050,9560,6630,69.4,113480,20180,17380,16.8,9060,6260,1211024100
,  Masterton district,6700,7040,5560,79,6220,6560,4820,73.5,8540,1550,1280,16.9,850,580,55890100
,  Carterton district,6790,7100,5340,75.2,6460,6880,5200,75.6,2220,350,380,16.6,170,200,14414700
,  South Wairarapa district,6360,6710,5080,75.7,5740,6240,4120,66,2190,570,580,26.3,350,350,13023900
,  Tasman district,6960,7360,5590,76,6490,6880,5000,72.7,12990,3450,3710,27.3,1730,1990,86033500
,  Nelson city,7450,7910,5720,72.3,6780,7200,5180,71.9,19980,3780,2920,17.1,1850,980,144186000
,  Marlborough district,7140,7520,5470,72.7,6680,7020,4880,69.5,14880,3080,3010,20.5,1520,1440,101396400
,  Kaikoura district,6570,6650,7220,108.6,5850,6150,5810,94.5,1060,200,270,21.4,110,180,6753600
,  Buller district,7270,7610,6100,80.2,6400,6700,5310,79.3,2970,500,500,17.1,260,260,22248300
,  Grey district,7120,7250,7250,100,6610,6880,5890,85.6,5290,890,780,15.9,460,350,36847300
,  Westland district,7040,7380,5800,78.6,6730,7050,5500,78,2560,410,640,19.4,170,410,17414700
,  Hurunui district,5980,6260,5400,86.3,5420,5850,4800,82.1,2580,650,660,25.3,360,370,14511300
,  Waimakariri district,6560,6950,5170,74.4,5980,6420,4370,68.1,7200,1510,1430,20.5,800,730,45386500
,  Christchurch city (modified),7930,8360,6260,74.9,7280,7670,5500,71.7,152770,26820,23910,16.8,12430,9520,1174606300
,  Selwyn district,7510,8220,5630,68.5,7160,7800,4680,60,8470,1590,1450,18.1,840,700,60583500
,  Ashburton district,7170,7540,5570,73.9,7000,7410,5190,70,10500,1970,1880,18.4,1000,910,73820400
,  Timaru district,7030,7430,5250,70.7,6730,7190,4620,64.3,16300,2890,2510,16.7,1530,1150,112007500
,  Mackenzie district,6920,7470,4650,62.3,5960,6550,4390,67,1150,210,380,23.6,100,270,7628900
,  Waimate district,6120,6500,4790,73.7,5770,6110,4230,69.2,1600,370,380,23.4,220,240,9378100
,  Waitaki district,7070,7410,5820,78.5,6820,7150,5160,72.2,7260,1130,1220,16,580,670,51377900
,  Central Otago district,6580,6920,5450,78.8,6000,6430,4590,71.4,5390,1280,1620,26.1,640,980,33772900
,  Queenstown-Lakes district,6880,7410,5270,71.1,6500,7000,5020,71.7,8120,2210,2470,28.4,950,1210,55208900
,  Dunedin city,7430,8050,5070,63,6950,7520,4210,56,47940,9000,6020,16.2,5130,2140,344116000
,  Clutha district,7280,7690,5960,77.5,7320,7790,5710,73.3,6000,1030,1430,19.9,540,940,43477200
,  Southland district,8190,8630,6530,75.7,8010,8550,6380,74.6,10230,1760,2900,21.6,940,2070,83084600
,  Gore district,7340,7810,5440,69.7,7220,7760,5380,69.3,5520,900,980,16.9,430,510,40501800
,  Invercargill city,7780,8270,5500,66.5,6910,7390,4650,62.9,21070,3480,2790,15.1,1780,1080,159080000
Mar-01,Total territorial authority,8500,8820,6420,72.8,7430,7690,5500,71.5,1466370,273900,299750,19.4,131210,157060,12035896000
,  Far North district,6390,6700,4790,71.5,5930,6240,4310,69.1,13570,2930,3170,22.3,1390,1630,82840800
,  Whangarei district,7580,7830,5940,75.9,6920,7180,4960,69.1,21930,3640,4420,18.1,1580,2360,160760400
,  Kaipara district,6210,6420,5500,85.7,6000,6240,5130,82.2,4040,890,1170,24.8,430,720,24568600
,  Rodney district,7050,7350,5040,68.6,6490,6800,4390,64.6,16040,3060,3640,20.5,1490,2070,110488600
,  North Shore city,9270,9670,6440,66.6,7850,8170,5220,63.9,61240,9770,12020,17.5,3890,6130,546624600
,  Waitakere city,7680,7970,5400,67.8,7020,7290,4670,64.1,37160,5820,7440,17.4,2470,4100,275319500
,  Auckland city,10330,10710,7750,72.4,8560,8850,6490,73.3,249730,45280,51250,19.1,19920,25890,2545579400
,  Manukau city,9210,9510,6880,72.3,8120,8370,6000,71.7,91770,14960,17660,17.6,6590,9290,829011500
,  Papakura district,7990,8140,6900,84.8,7440,7570,6470,85.5,11950,1890,2270,17.2,830,1210,93491600
,  Franklin district,8480,8830,6290,71.2,7270,7510,5230,69.6,14310,2940,2620,19.7,1700,1380,113103000
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,6550,6940,5040,72.6,5990,6480,4190,64.7,7190,1570,1510,21.5,880,810,45590800
,  Hauraki district,6730,6950,5570,80.1,6250,6530,4940,75.7,4040,790,880,20.4,410,500,26437800
,  Waikato district,7820,8140,6110,75.1,7180,7440,5950,80,8700,1820,2510,24,900,1590,64918900
,  Matamata-Piako district,7320,7460,6720,90.1,6830,6960,5920,85.1,9840,1800,2080,19.4,850,1130,69809800
,  Hamilton city,8160,8460,6000,70.9,7500,7750,5290,68.3,53860,9110,10750,18.2,3870,5520,421223000
,  Waipa district,7220,7500,5480,73.1,6550,6830,4640,67.9,10500,1810,2660,20.5,950,1790,73098600
,  Otorohanga district,6840,7120,4940,69.4,6850,7150,4670,65.3,2590,500,530,19.9,290,320,16991500
,  South Waikato district,7310,7510,6090,81.1,6960,7160,5970,83.4,8280,1210,1350,15.3,540,680,61996800
,  Waitomo district (modified),7130,7360,6050,82.2,6840,7130,5520,77.4,3450,730,790,21.7,370,440,22998500
,  Taupo district (modified),6970,7230,5290,73.2,6440,6750,4440,65.8,11050,2260,2540,21.5,960,1240,73643100
,  Western Bay of Plenty district,6450,6570,6110,93,6000,5990,6410,107,8620,2090,2650,26.6,1160,1720,52811600
,  Tauranga city,7560,7850,5520,70.3,6870,7160,4670,65.2,33190,6030,6520,18.8,2660,3150,241203400
,  Rotorua district,7480,7780,5250,67.5,6850,7130,4650,65.2,24400,4230,4900,18.4,1850,2530,176318600
,  Whakatane district (modified),6940,7170,5900,82.3,6250,6500,5050,77.7,9380,1770,2400,21.4,800,1430,63005500
,  Kawerau district,11780,12160,7580,62.3,11430,11940,7500,62.8,3080,310,470,12.3,120,280,35041800
,  Opotiki district,6040,6260,4880,78,5470,5720,4110,71.9,2080,440,570,23.4,180,310,12163400
,  Gisborne district,6820,7090,5240,73.9,6290,6570,4460,67.9,15930,4550,4650,28.8,2780,2880,103192000
,  Wairoa district,7200,7290,6470,88.8,7200,7190,6830,95,2870,700,780,25.3,380,450,19245500
,  Hastings district (modified),7480,7820,5810,74.3,6850,7200,5240,72.8,27550,8070,5980,26.5,5230,3150,192494600
,  Napier city,7190,7440,5270,70.8,6700,6930,4460,64.4,19600,3450,4770,20.3,1520,2830,138895600
,  Central Hawke's Bay district,7570,7850,6320,80.5,7280,7460,6500,87.1,5120,1580,1320,29.1,1090,840,34924000
,  New Plymouth district,7900,8130,6180,76,6920,7170,4800,67,23140,3790,4810,18.2,1700,2730,181757800
,  Stratford district,6220,6500,3930,60.5,5790,6100,3470,56.9,2290,380,490,18.8,230,330,13593900
,  South Taranaki district,8160,8450,6280,74.3,7500,7790,5970,76.6,10090,1510,2010,17,710,1210,79742400
,  Ruapehu district (modified),7330,7460,6590,88.3,6760,6990,5050,72.3,5120,1110,1510,24.6,610,1010,35093800
,  Wanganui district,7240,7480,5290,70.7,6700,6890,4760,69.1,15200,2590,2900,17.9,1140,1460,106636400
,  Rangitikei district (modified),6750,7000,5020,71.7,6120,6500,4480,68.9,4320,1120,1170,26.4,680,740,27878000
,  Manawatu district,7150,7360,5600,76.1,6750,6990,5010,71.7,7150,1330,1560,20,680,900,49393800
,  Palmerston North city,7680,7980,5200,65.2,7020,7330,4440,60.6,35490,5720,7410,18,2270,3970,261218600
,  Tararua district,6750,6950,5500,79.1,6450,6600,5580,84.6,5500,1230,1210,22.1,670,660,35541600
,  Horowhenua district,6430,6600,5000,75.8,5980,6210,4320,69.6,7790,1090,1600,16.8,490,1000,48749600
,  Kapiti Coast district,6550,6830,4660,68.2,5840,6120,3930,64.2,8630,1600,1790,19.5,770,960,54083100
,  Porirua city,8230,8550,5860,68.5,7500,7760,4620,59.5,11210,1870,2480,18.9,820,1420,89792800
,  Upper Hutt city,7940,8270,5020,60.7,7170,7500,4400,58.7,9620,1670,1720,17.6,810,850,74913600
,  Lower Hutt city,8770,9030,6870,76.1,7730,7970,5920,74.3,37740,5780,6340,15.9,2580,3140,322805000
,  Wellington city,11470,11850,8610,72.7,9150,9430,6920,73.4,110710,19250,20300,17.8,8500,9550,1219944300
,  Masterton district,6730,6970,5040,72.3,6260,6530,4360,66.8,8260,1420,1670,18.5,630,870,53603600
,  Carterton district,6430,6670,5000,75,6250,6540,4850,74.2,2250,420,400,18.4,210,190,13629200
,  South Wairarapa district,6110,6470,4430,68.5,5610,6230,3870,62.1,2200,580,590,26.7,320,320,12620000
,  Tasman district,6760,7130,5410,75.9,6240,6640,4800,72.3,13220,4320,2590,27.8,3020,1290,83331100
,  Nelson city,7280,7560,5190,68.7,6610,6860,4480,65.3,19140,3620,4010,19.8,1650,2040,133924900
,  Marlborough district,6990,7320,4960,67.8,6410,6730,4480,66.6,14810,3390,3500,23.2,1690,1800,97638100
,  Kaikoura district,6190,6650,4500,67.7,5830,6460,4230,65.5,1130,290,250,24.4,160,120,7058600
,  Buller district,7180,7540,4860,64.5,6150,6500,4110,63.2,2980,600,550,19.4,300,260,20771100
,  Grey district,6930,7260,4240,58.4,6370,6750,3430,50.8,5190,1080,1200,21.7,630,750,35916900
,  Westland district,7050,7420,5430,73.2,6500,6890,5290,76.8,2790,630,570,21.7,340,280,18920300
,  Hurunui district,5890,6170,4520,73.3,5490,5870,3990,68,2580,670,620,25,380,330,14371400
,  Waimakariri district,6290,6540,4800,73.4,5810,6090,4200,69,7130,1210,1600,19.2,570,960,43843900
,  Christchurch city (modified),7800,8110,5730,70.7,6990,7280,4940,67.9,149840,27420,29940,19,12420,14940,1124777700
,  Selwyn district,7730,8020,5320,66.3,7080,7350,4710,64.1,8320,1920,1610,21.7,1130,820,58610900
,  Ashburton district,7330,7370,7100,96.3,7110,7020,7270,103.6,10410,2130,2000,20,1180,1040,72721400
,  Timaru district,7260,7320,6840,93.4,6810,6770,6780,100.2,15920,3040,2870,18.7,1680,1510,110419900
,  Mackenzie district,7120,7720,5490,71.1,6130,6790,5400,79.5,1330,350,300,24.7,210,160,8677800
,  Waimate district,6200,6420,5720,89.1,5830,6050,4970,82.2,1620,360,380,22.6,220,240,9643500
,  Waitaki district,7180,7150,7300,102.1,6660,6440,7740,120.2,7350,1850,1300,22.3,1220,680,50931900
,  Central Otago district,6510,6810,4880,71.7,6050,6440,4520,70.2,5730,1780,1320,28.1,1040,580,35803700
,  Queenstown-Lakes district,7070,7560,5530,73.2,6600,7020,5290,75.4,8370,2670,2200,30.1,1220,750,56045900
,  Dunedin city,7530,7830,5260,67.2,6780,7040,4540,64.5,44950,7610,8710,17.9,3510,4610,323360900
,  Clutha district,7320,7170,7370,102.8,7300,7010,7480,106.7,6400,1840,1290,25.6,1250,700,44229500
,  Southland district,8520,8620,7960,92.3,8150,7800,8380,107.4,11360,3750,2150,28,2820,1210,89684700
,  Gore district,7520,7380,8140,110.3,7360,6780,8460,124.8,5600,1720,890,25.1,1300,470,40328000
,  Invercargill city,7340,7600,5250,69.1,6640,6910,4540,65.7,20380,3150,3650,16.4,1360,1860,146093700
Dec-00,Total territorial authority,8960,9270,7010,75.6,8050,8320,6090,73.2,1492230,263370,227340,16.6,123000,86980,12659483000
,  Far North district,6820,7160,4770,66.6,6240,6640,4250,64,13830,2760,2070,17.9,1450,760,87223200
,  Whangarei district,8120,8350,6590,78.9,7520,7770,5440,70,22670,3780,3160,15.5,1750,1130,178316700
,  Kaipara district,6520,6740,5800,86.1,6230,6430,5210,81,4300,1240,730,24.2,780,280,26155000
,  Rodney district,7630,7900,6230,78.9,7240,7550,5790,76.7,16650,3330,2620,18.2,1870,1160,119140800
,  North Shore city,9430,9780,7050,72.1,8530,8840,6240,70.6,63320,10640,9170,15.8,4960,3490,569133500
,  Waitakere city,8410,8650,6800,78.6,7920,8170,6180,75.6,38980,6450,5340,15.3,3150,2040,311066800
,  Auckland city,10810,11150,8900,79.8,9240,9500,7550,79.5,255770,44890,41680,17,18830,15620,2654570800
,  Manukau city,9830,10180,7290,71.6,8930,9210,6550,71.1,94150,14910,12150,14.6,6920,4170,889062300
,  Papakura district,8580,8810,7090,80.5,8180,8400,6400,76.2,12260,2250,1960,17.4,990,700,101472000
,  Franklin district,8710,9130,5800,63.5,7790,8210,5060,61.6,13950,2530,1950,16.4,1460,880,113290400
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,7050,7300,6290,86.2,6600,6910,5440,78.7,7130,1500,1030,18.4,890,420,47759700
,  Hauraki district,7340,7610,5270,69.3,6920,7240,4650,64.2,4120,700,550,15.4,390,230,28472700
,  Waikato district,8510,8880,6720,75.7,7820,8250,5880,71.3,9300,2470,1280,21.6,1740,550,71586100
